Projeto,Ano,Tipo,Ementa,Situação,Cod_Tipo,Id_Projeto,Data_Projeto,Tramitacao_Encerrada,Aprovado
5869.0,2013.0,Requerimento,"Solicita a colocação de redutor de velocidade ou sinalização para redução de velocidade na Rua Professora Noêmia Mendonça, Bairro teixeiras.",Arquivada,REQ,46360,10/12/2013,SIM,SIM
5868.0,2013.0,Requerimento,"Solicita o calçamento na subida da Rua Joaquim Guedes , Bairro Granjas Betânia.",Arquivada,REQ,46357,10/12/2013,SIM,SIM
5867.0,2013.0,Requerimento,"Solicita a colocação de um redutor de velocidade ou sinalização para redução de velocidade na Av. Maria de almeida Silva, no Bairro Teixeiras.",Arquivada,REQ,46354,10/12/2013,SIM,SIM
5866.0,2013.0,Requerimento,"Solicita a revitalização da pintura da rotatória na Av. Maria de almeida Silva, no Bairro Teixeiras.",Arquivada,REQ,46352,10/12/2013,SIM,SIM
5865.0,2013.0,Requerimento,"Solicita junto a Secretaria de Obras, licitação pública para execução de um projeto de engenharia para o bairro Industrial.",Arquivada,REQ,46064,12/12/2013,SIM,SIM
5864.0,2013.0,Requerimento,"Solicita junto a Settra, instalação de bicicletários em locais públicos.",Arquivada,REQ,46063,12/12/2013,SIM,SIM
5863.0,2013.0,Requerimento,"Solicita estudo para mudança de itinerário das linhas 107 e 113, da vila Montanhesa.",Arquivada,REQ,46062,12/12/2013,SIM,SIM
5862.0,2013.0,Requerimento,Solicita colocação de uma tampa de bueiro em frente ao nº15 da rua Lourdes Fonseca Pinto no Jardim de Ala,Arquivada,REQ,46464,12/12/2013,SIM,SIM
5861.0,2013.0,Requerimento,Solicita fiscalização da SAU pondo em prática a execução da lei 10516/03,Em Tramitação,REQ,46463,12/12/2013,NAO,TRAMITACAO
5860.0,2013.0,Requerimento,"Solicita reparo no asfalto da rua Maria Ribeiro de Oliveira, no bairro Santa Rita.",Arquivada,REQ,46126,12/12/2013,SIM,SIM
5858.0,2013.0,Requerimento,"Solicita a capina e limpeza na Praça Dr. Pedro B. Martins, no Bairro Grajaú.",Arquivada,REQ,46310,12/12/2013,SIM,SIM
5857.0,2013.0,Requerimento,"Solicita a capina e limpeza na Rua Dr. Costa Reis, no Bairro Bela Aurora.",Arquivada,REQ,46309,12/12/2013,SIM,SIM
5856.0,2013.0,Requerimento,Solicita a limpeza e capina em todo o Bairro Alto Grajaú.,Arquivada,REQ,46308,12/12/2013,SIM,SIM
5855.0,2013.0,Requerimento,Solicita a capina e limpeza em todo o Bairro Bom Jardim.,Arquivada,REQ,46307,12/12/2013,SIM,SIM
5854.0,2013.0,Requerimento,Solicita a capina e limpeza na Rua Antonio Altaf no Bairro Cascatinha.,Arquivada,REQ,46306,12/12/2013,SIM,SIM
5853.0,2013.0,Requerimento,Solicita a capina e limpeza na Rua das Missões no Bairro Nossa Senhora Aparecida.,Arquivada,REQ,46305,12/12/2013,SIM,SIM
5852.0,2013.0,Requerimento,"Solicita o reparo do asfalto, na Rua Carmela Dutra, no Bairro Nossa Senhora Aparecida.",Arquivada,REQ,46304,12/12/2013,SIM,SIM
5851.0,2013.0,Requerimento,"Solicita o recapeamento asfáltico , na Rua Domingos Lopes, no Bairro Nossa Senhora das Graças.",Arquivada,REQ,46303,12/12/2013,SIM,SIM
5850.0,2013.0,Requerimento,"Solicita recapeamento asfáltico ao longo da Rua Antônio Altaf, no Bairro Cascatinha.",Arquivada,REQ,46302,12/12/2013,SIM,SIM
5849.0,2013.0,Requerimento,"Solicita o reparo e troca de uma tampa de bueiro, na Rua dos Inconfidentes, no Bairro Manoel Honório.",Arquivada,REQ,46299,12/12/2013,SIM,SIM
5848.0,2013.0,Requerimento,Solicita o recapeamento asfáltico em todo o Bairro Alto Grajaú.,Arquivada,REQ,46298,12/12/2013,SIM,SIM
5847.0,2013.0,Requerimento,"Solicita junto a Settra, estudo para implantação de mão única na rua Professor Inácio Werneck, no bairro Dom Bosco.",Arquivada,REQ,46061,11/12/2013,SIM,SIM
5846.0,2013.0,Requerimento,"Solicita junto a Secretaria de Obras, colocação de escória na rua G, no bairro Vila Almeida.",Arquivada,REQ,46060,11/12/2013,SIM,SIM
5845.0,2013.0,Requerimento,"Solicita junto a Settra, colocação de semáforo nas duas entradas do Corte de Pedra, no bairro Marumbi.",Arquivada,REQ,46152,11/12/2013,SIM,SIM
5844.0,2013.0,Requerimento,"Solicita limpeza da boca de lobo da rua Miguel Gustavo, no bairro Parque Guarani.",Arquivada,REQ,46031,11/12/2013,SIM,SIM
5843.0,2013.0,Requerimento,Solicita o arquivamento definitivo do Projeto de Lei nº 112/2013.,Arquivada,REQ,46312,10/12/2013,SIM,SIM
5842.0,2013.0,Requerimento,"Solicita junto a Secretaria de Educação inclusão dos alunos com necessidades especiais, de forma ampla.",Arquivada,REQ,46216,10/12/2013,SIM,SIM
5841.0,2013.0,Requerimento,"Solicita junto a Secretaria de Esportes e Lazer, criação de uma bolsa esporte/educação para os alunos em escolas de educação básica.",Arquivada,REQ,46215,10/12/2013,SIM,SIM
5840.0,2013.0,Requerimento,"Solicita junto a Secretaria de Educação, Administração e Recursos Humanos, mobilizar a PMMG e a Guarda Municipal para promover a segurança escolar.",Arquivada,REQ,46211,10/12/2013,SIM,SIM
