id_projeto_camara,nome_autor
105445,Sargento Mello Casal
105449,Bejani Júnior
105457,André Luiz
105457,Vagner de Oliveira
105244,André Luiz
103612,André Luiz
100358,André Luiz
100262,André Luiz
100000,André Luiz
99872,André Luiz
105444,Laiz Perrut
105412,Juraci Scheffer
105410,Juraci Scheffer
105408,Juraci Scheffer
105407,Juraci Scheffer
105406,Juraci Scheffer
105404,Juraci Scheffer
105401,Juraci Scheffer
105400,Juraci Scheffer
105350,Luiz Otávio Fernandes Coelho - Pardal
105341,Luiz Otávio Fernandes Coelho - Pardal
105339,Luiz Otávio Fernandes Coelho - Pardal
105338,Luiz Otávio Fernandes Coelho - Pardal
105419,Zé Márcio
105399,Zé Márcio
105397,Nilton Militão
105391,Sargento Mello Casal
105442,Marlon Siqueira
105418,Marlon Siqueira
105413,Marlon Siqueira
105398,Marlon Siqueira
105436,Kátia Franco Protetora
105434,Kátia Franco Protetora
105433,Kátia Franco Protetora
105432,Kátia Franco Protetora
105431,Kátia Franco Protetora
105430,Kátia Franco Protetora
105390,Kátia Franco Protetora
105389,Kátia Franco Protetora
105388,Kátia Franco Protetora
105387,Kátia Franco Protetora
105392,Tallia Sobral
105429,Bejani Júnior
105428,Bejani Júnior
105427,Bejani Júnior
105426,Bejani Júnior
105425,Bejani Júnior
105424,Bejani Júnior
105402,Julinho Rossignoli
105416,Maurício Delgado
105415,Maurício Delgado
105405,João Wagner
104152,André Luiz
103613,André Luiz
103416,André Luiz
103326,André Luiz
102899,André Luiz
100260,André Luiz
105372,Laiz Perrut
105438,Cida Oliveira
105437,Cida Oliveira
105357,Juraci Scheffer
105356,Juraci Scheffer
105355,Juraci Scheffer
105354,Juraci Scheffer
105353,Juraci Scheffer
105351,Juraci Scheffer
105349,Juraci Scheffer
105348,Juraci Scheffer
105346,Juraci Scheffer
105343,Juraci Scheffer
105340,Juraci Scheffer
105344,Luiz Otávio Fernandes Coelho - Pardal
105328,Luiz Otávio Fernandes Coelho - Pardal
104471,Luiz Otávio Fernandes Coelho - Pardal
104386,Luiz Otávio Fernandes Coelho - Pardal
104385,Luiz Otávio Fernandes Coelho - Pardal
104384,Luiz Otávio Fernandes Coelho - Pardal
104383,Luiz Otávio Fernandes Coelho - Pardal
105376,Cido Reis
105375,Cido Reis
105373,Cido Reis
105368,Cido Reis
105366,Dr. Antônio Aguiar
105365,Dr. Antônio Aguiar
105363,Dr. Antônio Aguiar
105362,Dr. Antônio Aguiar
105327,Dr. Antônio Aguiar
105326,Dr. Antônio Aguiar
105374,Zé Márcio
105342,Nilton Militão
105337,Nilton Militão
105336,Nilton Militão
105360,Sargento Mello Casal
105367,Marlon Siqueira
105334,Marlon Siqueira
105386,Kátia Franco Protetora
105385,Kátia Franco Protetora
105384,Kátia Franco Protetora
105383,Kátia Franco Protetora
105382,Kátia Franco Protetora
105381,Kátia Franco Protetora
105364,Maurício Delgado
105359,Maurício Delgado
105358,Maurício Delgado
102441,André Luiz
100400,André Luiz
99955,André Luiz
99870,André Luiz
99783,André Luiz
105369,Laiz Perrut
105361,Laiz Perrut
105371,Cida Oliveira
105370,Cida Oliveira
105296,Juraci Scheffer
105294,Juraci Scheffer
105293,Juraci Scheffer
105292,Juraci Scheffer
105291,Juraci Scheffer
105290,Juraci Scheffer
105289,Juraci Scheffer
105287,Juraci Scheffer
105286,Juraci Scheffer
105284,Juraci Scheffer
105283,Juraci Scheffer
105280,Juraci Scheffer
105279,Juraci Scheffer
105278,Juraci Scheffer
105277,Juraci Scheffer
105325,Luiz Otávio Fernandes Coelho - Pardal
105321,Luiz Otávio Fernandes Coelho - Pardal
105265,Luiz Otávio Fernandes Coelho - Pardal
105125,Luiz Otávio Fernandes Coelho - Pardal
104450,Luiz Otávio Fernandes Coelho - Pardal
104402,Luiz Otávio Fernandes Coelho - Pardal
104401,Luiz Otávio Fernandes Coelho - Pardal
104387,Luiz Otávio Fernandes Coelho - Pardal
104379,Luiz Otávio Fernandes Coelho - Pardal
105275,Cido Reis
105274,Cido Reis
105273,Cido Reis
105322,Vagner de Oliveira
105269,Sargento Mello Casal
105262,Sargento Mello Casal
105259,Sargento Mello Casal
105253,Sargento Mello Casal
105311,Kátia Franco Protetora
105310,Kátia Franco Protetora
105309,Kátia Franco Protetora
105308,Kátia Franco Protetora
105299,Bejani Júnior
105298,Bejani Júnior
105295,Bejani Júnior
105270,Tiago Bonecão
105320,João Wagner
105318,João Wagner
105306,João Wagner
105305,João Wagner
105304,João Wagner
105303,João Wagner
105302,João Wagner
105301,João Wagner
105300,João Wagner
105297,João Wagner
105281,João Wagner
105242,André Luiz
105240,André Luiz
103365,André Luiz
103215,André Luiz
102887,André Luiz
105323,Laiz Perrut
105288,Laiz Perrut
105317,Cida Oliveira
105316,Cida Oliveira
105315,Cida Oliveira
105314,Cida Oliveira
105313,Cida Oliveira
105312,Cida Oliveira
105307,Cida Oliveira
105239,Juraci Scheffer
105238,Juraci Scheffer
105237,Juraci Scheffer
105236,Juraci Scheffer
105235,Juraci Scheffer
105234,Juraci Scheffer
105233,Juraci Scheffer
105232,Juraci Scheffer
105224,Juraci Scheffer
105223,Juraci Scheffer
105220,Juraci Scheffer
105217,Juraci Scheffer
105214,Juraci Scheffer
105202,Juraci Scheffer
105200,Juraci Scheffer
105199,Juraci Scheffer
105194,Juraci Scheffer
105193,Juraci Scheffer
105192,Juraci Scheffer
105189,Juraci Scheffer
105187,Juraci Scheffer
105186,Juraci Scheffer
105184,Juraci Scheffer
105179,Juraci Scheffer
105178,Juraci Scheffer
105174,Juraci Scheffer
105257,Luiz Otávio Fernandes Coelho - Pardal
105256,Luiz Otávio Fernandes Coelho - Pardal
