Projeto,Ano,Tipo,Ementa,Situação,Codigo_Tipo,Id_Projeto,Data_Projeto,Tramitacao_Encerrada,Aprovado
5311,2017,Requerimento,Tapa Buraco - Rua Geraldo Gerhein; Bairro Cidade do Sol.,Aprovado,REQ,64690,,,
5310,2017,Requerimento,Tapa Buraco - Rua Geraldo Albano Fernandes; Bairro Cidade do Sol.,Aprovado,REQ,64688,,,
5309,2017,Requerimento,Tapa Buraco - Rua Gabriel Sobreira; Bairro Ponte Preta.,Aprovado,REQ,64687,,,
5308,2017,Requerimento,Tapa Buraco - Rua E; Bairro Santana.,Aprovado,REQ,64686,,,
5307,2017,Requerimento,Tapa buraco - Rua Duque de Caxias; Bairro Poço Rico.,Aprovado,REQ,64685,,,
5306,2017,Requerimento,Tapa Buraco; Rua Dr. Vilaça; Bairro Poço Rico.,Aprovado,REQ,64684,,,
5305,2017,Requerimento,Tapa buraco - Dr. Jair Fortes; Bairro Recanto dos Lagos.,Aprovado,REQ,64682,,,
5304,2017,Requerimento,Tapa buraco - Rua Dr. Eduardo de Menezes; Bairro São Mateus.,Aprovado,REQ,64681,,,
5303,2017,Requerimento,Tapa Buraco - Dr. Coutinho; Bairro Ponte Preta.,Aprovado,REQ,64680,,,
5302,2017,Requerimento,Tapa Buraco - Rua Detetive Afonso Celso; Bairro Recanto dos Lagos.,Aprovado,REQ,64679,,,
5301,2017,Requerimento,Tapa Buraco - Rua Detetive Agapito; Bairro Recanto dos Lagos.,Aprovado,REQ,64678,,,
5300,2017,Requerimento,Tapa Buraco - Rua Daniel Antonio Pinto; Bairro Recanto dos Lagos.,Aprovado,REQ,64677,,,
5299,2017,Requerimento,Tapa buraco - Rua Cláudio Martins Chaves; Bairro Poço Rico,Aprovado,REQ,64676,,,
5298,2017,Requerimento,Tapa Buraco - Rua Cidade do Sol; Bairro Cidade do Sol,Aprovado,REQ,64675,,,
5297,2017,Requerimento,Tapa Buraco - Rua Ceará; Bairro Poço Rico,Aprovado,REQ,64674,,,
5296,2017,Requerimento,Tapa Buraco - Rua Catarina Marques; Bairro Ponte Preta.,Aprovado,REQ,64673,,,
5295,2017,Requerimento,Tapa Buraco - Rua Carlos Martins; Bairro Monte Castelo.,Aprovado,REQ,64672,,,
5294,2017,Requerimento,Tapa buraco - Rua Capitão Wanderley do Nascimento; Bairro Recanto dos lagos.,Aprovado,REQ,64671,,,
5293,2017,Requerimento,Tapa buraco - Ru da Bahia; Bairro Poço Rico.,Aprovado,REQ,64669,,,
5292,2017,Requerimento,Tapa buraco - Av. Trajano Torres; Bairro Ponte Preta.,Aprovado,REQ,64668,,,
5291,2017,Requerimento,Tapa buraco - Av. Pedro Henrique Krambeck; Bairro Poço Rico.,Aprovado,REQ,64667,,,
5290,2017,Requerimento,Tapa buraco - Av. Garcia Rodrigues Paes; Bairro Jóquei.,Aprovado,REQ,64666,,,
5289,2017,Requerimento,Tapa buraco - Rua Attílio Pastorini; Bairro Santana.,Aprovado,REQ,64665,,,
5288,2017,Requerimento,Tapa buraco - Rua Amazonas; Bairro Poço Rico.,Aprovado,REQ,64664,,,
5287,2017,Requerimento,Tapa buraco - Rua Amarilis; Bairro Recanto dos Lagos.,Aprovado,REQ,64663,,,
5286,2017,Requerimento,Tapa buraco - Rua Alberto Deodato; Bairro Cidade do Sol.,Aprovado,REQ,64662,,,
5285,2017,Requerimento,Remoção de veículo - Rua Manoel da Silva; Bairro Granjas Bethania.,Aprovado,REQ,64661,,,
5284,2017,Requerimento,Capina - Rua V; Bairro São Judas Tadeu.,Aprovado,REQ,64660,,,
5283,2017,Requerimento,Capina - Rua Vicente Soares Silva; Bairro Santana.,Aprovado,REQ,64659,,,
5282,2017,Requerimento,Capina - Rua vargas Pereira da Costa; Bairro São Judas Tadeu.,Aprovado,REQ,64658,,,
5281,2017,Requerimento,Capina- Rua Valdir Martins de Oliveira; Bairro São Judas Tadeu.,Aprovado,REQ,64656,,,
5280,2017,Requerimento,Capina - Ursulino Marcelino da Horta; Bairro Ponte Preta.,Aprovado,REQ,64654,,,
5279,2017,Requerimento,Capina - Trav. Santo Expedito; Bairro São Francisco de Paula.,Aprovado,REQ,64652,,,
5278,2017,Requerimento,Capina - Rua Toscana Bosco Budini; Bairro São Judas Tadeu.,Aprovado,REQ,64650,,,
5277,2017,Requerimento,Capina - Rua Sinval Ladeira Neves; Bairro São Judas Tadeu.,Aprovado,REQ,64649,,,
5276,2017,Requerimento,Capina - Rua Sargento Cunha; Bairro Bandeirantes.,Aprovado,REQ,64648,,,
5275,2017,Requerimento,Capina - Rua Senhor Américo Mozzato; Bairro Recanto dos Lagos.,Aprovado,REQ,64647,,,
5274,2017,Requerimento,Capina - Rua Sebastião Ferreira; Bairro São Pedro.,Aprovado,REQ,64646,,,
5273,2017,Requerimento,Capina - Rua Sebastião José dos Reis; Bairro São Judas Tadeu.,Aprovado,REQ,64645,,,
5272,2017,Requerimento,Capina - Rua Sebastião de Oliveira; Bairro São Francisco de Paula.,Aprovado,REQ,64644,,,
5271,2017,Requerimento,Capina - Rua Santana; Bairro Santa Terezinha.,Aprovado,REQ,64643,,,
5270,2017,Requerimento,Capina - Rua Sabino Tortura; Bairro São Judas Tadeu.,Aprovado,REQ,64642,,,
5269,2017,Requerimento,Capina - Rua Reinaldo Gomes de Almeida; Bairro São Judas Tadeu.,Aprovado,REQ,64640,,,
5268,2017,Requerimento,Capina - Rua Regente; Bairro Santana,Aprovado,REQ,64638,,,
5267,2017,Requerimento,Capina - Rua Redentor; Bairro Paineiras.,Aprovado,REQ,64637,,,
5266,2017,Requerimento,Capina - Rua Pedro Muniz Falcão; Bairro São Judas Tadeu.,Aprovado,REQ,64635,,,
5265,2017,Requerimento,Capina - Rua Pedro Cardoso; Bairro São Judas Tadeu.,Aprovado,REQ,64634,,,
5264,2017,Requerimento,Capina - Rua Paulo Lutterback Abreu; Bairro São Judas Tadeu.,Aprovado,REQ,64633,,,
5263,2017,Requerimento,Capina - Rua Oliveiro Pires de Carvalho; Bairro Recanto dos Lagos.,Aprovado,REQ,64632,,,
5262,2017,Requerimento,Capina - Rua Nelson Gomes de Almeida; Bairro São Judas Tadeu.,Aprovado,REQ,64631,,,
5261,2017,Requerimento,Capina - Rua Monsenhor Francisco de Paula; Bairro São Judas Tadeu.,Aprovado,REQ,64629,,,
5260,2017,Requerimento,Capina - Rua Miguel Simões Neto; Bairro Santana.,Aprovado,REQ,64627,,,
5259,2017,Requerimento,Capina - Rua Maurício Fagundes Resende; Bairro Recanto dos Lagos.,Aprovado,REQ,64626,,,
5258,2017,Requerimento,Capina - Rua Maria José de Oliveira; Bairro São Francisco de Paula.,Aprovado,REQ,64625,,,
5257,2017,Requerimento,Capina - Rua Manoel de Oliveira Miranda; Bairro São Judas Tadeu.,Aprovado,REQ,64624,,,
5256,2017,Requerimento,Capina - Rua Major Ivan da veiga; Bairro São Judas Tadeu.,Aprovado,REQ,64621,,,
5255,2017,Requerimento,Capina - Rua Maria de Barros Fuscaldi Neves; Bairro Recanto dos Lagos.,Aprovado,REQ,64619,,,
5254,2017,Requerimento,Capina - Rua Luiz Vilani; Bairro São Judas Tadeu.,Aprovado,REQ,64618,,,
5253,2017,Requerimento,Capina - Rua José Vicente da Silva; Bairro Recanto dos Lagos.,Aprovado,REQ,64616,,,
5252,2017,Requerimento,Capina - Rua José Paulino Sobrinho; Bairro São Judas Tadeu.,Aprovado,REQ,64614,,,
5251,2017,Requerimento,Capina - Rua José francisco de Andrade; Bairro São Judas Tadeu.,Aprovado,REQ,64611,,,
5250,2017,Requerimento,Capina - Rua José Dias Ferreira; Bairro São Francisco de Paula.,Aprovado,REQ,64610,,,
5249,2017,Requerimento,Capina - Rua José de Oliveira; Bairro São Francisco de Paula.,Aprovado,REQ,64607,,,
5248,2017,Requerimento,Capina - Rua José da Silva Atalaia; Bairro Recanto dos Lagos.,Aprovado,REQ,64606,,,
5247,2017,Requerimento,Capina - Rua José Carlos de Lery; Bairro São Judas Tadeu.,Aprovado,REQ,64605,,,
5246,2017,Requerimento,Capina - Rua Julita Teixeira Gracioso; Bairro Recanto dos Lagos.,Aprovado,REQ,64604,,,
