Projeto,Ano,Tipo,Ementa,Situacao,Autor,Codigo_Tipo,Id_Projeto_Camara,Data_Projeto,Tramitacao_Encerrada,Aprovado
4002,2012,Mensagem do Executivo,"Dispõe sobre a incorporação da gratificação pelo exercício da atividade no Programa de Saúde da Família, instituída pela Lei nº 10.926, de 23 de maio de 2005.",Transformado em Norma Jurídica,Executivo,MSGEX,25593,,,
4001,2012,Mensagem do Executivo,Dispõe sobre as Diretrizes Orçamentárias para o exercício financeiro de 2013,Transformado em Norma Jurídica,Executivo,MSGEX,39159,,,
4000,2012,Mensagem do Executivo,Dispõe sobre a desafetação e a investidura das áreas públicas que menciona.,Transformado em Norma Jurídica,Executivo,MSGEX,39158,,,
3999,2012,Mensagem do Executivo,"Altera dispositivos da Lei nº 10.000, criando a Secretaria de Meio Ambiente e revogando a Lei nº 10.467, de 12 de junho de 2003 e alterações posteriores, altera as Leis nº 9.590, de 14 de setembro de 1999 e a nº 9.680, de 20 de dezembro de 1999 e dá outras providências.",Transformado em Norma Jurídica,Executivo,MSGEX,25453,,,
3998,2012,Mensagem do Executivo,"Altera a Lei nº 12.461, de 30 de dezembro de 2011, que reduz a alíquota do ISSQN para as atividades que menciona.",Transformado em Norma Jurídica,Executivo,MSGEX,25682,,,
3997,2012,Mensagem do Executivo,"Altera a Lei nº 11.427, de 14 de setembro de 2007, que ""autoriza o Município a patrocinar equipes de futebol de campo e dá outras providências"".",Transformado em Norma Jurídica,Executivo,MSGEX,3263,,,
3996,2012,Mensagem do Executivo,Dispõe sobre a denominação de Próprio Municipal,Transformado em Norma Jurídica,Executivo,MSGEX,39144,,,
3995,2012,Mensagem do Executivo,Dispõe sobre doação de imóvel que menciona.,Transformado em Norma Jurídica,Executivo,MSGEX,39152,,,
3994,2012,Mensagem do Executivo,"Altera a redação da Lei nº 8.948, de 31 de outubro de 1996, que ""indica casos de interesse social e autoriza o Executivo a doar área Municipal e dá outras providências"".",Transformado em Norma Jurídica,Executivo,MSGEX,3018,,,
3993,2012,Mensagem do Executivo,Dispõe sobre a criação da Escola Municipal Coronel Emílio Esteves dos Reis e dá outras providências,Transformado em Norma Jurídica,Executivo,MSGEX,39143,,,
3992,2012,Mensagem do Executivo,"Dispõe sobre o recebimento de área, em doação, para construção de escola/creche, bem como para implementação de programa habitacional.",Transformado em Norma Jurídica,Executivo,MSGEX,39135,,,
3991,2012,Mensagem do Executivo,"Dispõe sobre o recebimento, em doação, da área que menciona.",Transformado em Norma Jurídica,Executivo,MSGEX,39134,,,
3990,2012,Mensagem do Executivo,"Altera parcialmente a Lei nº 9.896, de 16 de novembro de 2000 e dá outras providências.",Transformado em Norma Jurídica,Executivo,MSGEX,1728,,,
3989,2012,Mensagem do Executivo,"Altera Anexo Único da Lei nº 12.328, de 26 de Julho de 2011.",Transformado em Norma Jurídica,Executivo,MSGEX,302,,,
3988,2012,Mensagem do Executivo,"Dispõe sobre a autorização para o reajuste dos subsídio, vencimentos, salários, gratificações, proventos de aposentadorias e pensões dos Servidores Municipais e dá outras providências.",Transformado em Norma Jurídica,Executivo,MSGEX,301,,,
