Projeto,Ano,Tipo,Autor,Ementa,Situação
3999.0,2012.0,Mensagem do Executivo,Executivo,"Altera dispositivos da Lei nº 10.000, criando a Secretaria de Meio Ambiente e revogando a Lei nº 10.467, de 12 de junho de 2003 e alterações posteriores, altera as Leis nº 9.590, de 14 de setembro de 1999 e a nº 9.680, de 20 de dezembro de 1999 e dá outras providências.",Transformado em Norma Jurídica
3998.0,2012.0,Mensagem do Executivo,Executivo,"Altera a Lei nº 12.461, de 30 de dezembro de 2011, que reduz a alíquota do ISSQN para as atividades que menciona.",Transformado em Norma Jurídica
3997.0,2012.0,Mensagem do Executivo,Executivo,"Altera a Lei nº 11.427, de 14 de setembro de 2007, que ""autoriza o Município a patrocinar equipes de futebol de campo e dá outras providências"".",Transformado em Norma Jurídica
3996.0,2012.0,Mensagem do Executivo,Executivo,Dispõe sobre a denominação de Próprio Municipal,Transformado em Norma Jurídica
3995.0,2012.0,Mensagem do Executivo,Executivo,Dispõe sobre doação de imóvel que menciona.,Transformado em Norma Jurídica
3994.0,2012.0,Mensagem do Executivo,Executivo,"Altera a redação da Lei nº 8.948, de 31 de outubro de 1996, que ""indica casos de interesse social e autoriza o Executivo a doar área Municipal e dá outras providências"".",Transformado em Norma Jurídica
3993.0,2012.0,Mensagem do Executivo,Executivo,Dispõe sobre a criação da Escola Municipal Coronel Emílio Esteves dos Reis e dá outras providências,Transformado em Norma Jurídica
3992.0,2012.0,Mensagem do Executivo,Executivo,"Dispõe sobre o recebimento de área, em doação, para construção de escola/creche, bem como para implementação de programa habitacional.",Transformado em Norma Jurídica
3991.0,2012.0,Mensagem do Executivo,Executivo,"Dispõe sobre o recebimento, em doação, da área que menciona.",Transformado em Norma Jurídica
3990.0,2012.0,Mensagem do Executivo,Executivo,"Altera parcialmente a Lei nº 9.896, de 16 de novembro de 2000 e dá outras providências.",Transformado em Norma Jurídica
3989.0,2012.0,Mensagem do Executivo,Executivo,"Altera Anexo Único da Lei nº 12.328, de 26 de Julho de 2011.",Transformado em Norma Jurídica
3988.0,2012.0,Mensagem do Executivo,Executivo,"Dispõe sobre a autorização para o reajuste dos subsídio, vencimentos, salários, gratificações, proventos de aposentadorias e pensões dos Servidores Municipais e dá outras providências.",Transformado em Norma Jurídica
3987.0,2012.0,Mensagem do Executivo,Executivo,"Dispõe sobre desafetação de área de terreno de sua característica institucional, transferindo-a para o patrimônio do Município e, autoriza a doação ao Estado de Minas Gerais para construção da sede do Ministério Público do Estado de Minas Gerais e dá outras providências.",Transformado em Norma Jurídica
3986.0,2012.0,Mensagem do Executivo,Executivo,Autoriza a incorporação das áreas que menciona ao patrimônio da Empresa Regional de Habitação de Juiz de Fora S.A. - EMCASA.,Transformado em Norma Jurídica
3985.0,2012.0,Mensagem do Executivo,Executivo,Dispõe sobre a desafetação e a investidura da área pública que menciona.,Transformado em Norma Jurídica
