Projeto,Ano,Tipo,Ementa,Situacao,Autor,Codigo_Tipo,Id_Projeto_Camara,Data_Projeto,Tramitacao_Encerrada,Aprovado
7,2021,Pedido de Informação,"Informações sobre a construção do Viaduto Eng. Renato José Abramo, fechamento da travessia na Rua Afonso Pinto de Moura e outras modificações no cotidiano dos munícipes daquela região.",Aprovado,Maurício Delgado,PEDIF,,,,
7,2021,Moção,"Moção de Aplausos ao Cabo BM Fábio Trifilio de Oliveira pela presteza, pela rapidez e confiabilidade que tem atendido aos pedidos referentes à causa animal. ",Aprovado,Kátia Franco Protetora,MOC,,,,
7,2021,Requerimento,"Requeiro a Excelentíssima Senhora Prefeita Municipal providenciar, com a possível urgência, que o Setor competente da Secretaria de Obras realize serviços para a instalação de uma boca de lobo, localizada na Rua Carlos Martins em frente ao Nº 31, no Bairro Jardim Cachoeira.",Aprovado,Bejani Júnior,REQ,,,,
6,2021,Projeto de Resolução,Aprova as Contas da Prefeitura Municipal de Juiz de Fora referentes ao exercício financeiro de 2016.,Transformado em Norma Jurídica,André Luiz,PRES,,,,
6,2021,Projeto de Lei Complementar,"Inclui o §1º no artigo 13 da Lei nº 5.546, de 26 de dezembro de 1978, que Institui o Código Tributário Municipal.",Transformado em Norma Jurídica,Luiz Otávio Fernandes Coelho - Pardal,PLEIC,,,,
6,2021,Representação,"Representação junto ao ao Ministério Público do Estado de Minas Gerais, REQUERER A INTERFERÊNCIA E ATUAÇÃO LEGAL DO MINISTÉRIO PÚBLICO DO ESTADO DE MINAS GERAIS, afim de fiscalizar e apurar possíveis irregularidades nas primeiras fases da vacinação contra COVID-19 no município, haja vista o grande número de denúncias que testemunhamos pela mídia em todo o território nacional.",Aprovado,Bejani Júnior,REP,,,,
6,2021,Projeto de Lei,Inclui o § 5º do art. 4° da Lei 13.473/2016.,Em Tramitação,"Bejani Júnior, João Wagner, Julinho Rossignoli, Tiago Bonecão",PLEI,,,,
6,2021,Pedido de Informação,"Requeira a Excelentíssima Senhora Prefeita Municipal, informações junto à Secretaria Saúde sobre a construção das UBS do Manoel Honório e do Parque Indepedência.",Aprovado,Bejani Júnior,PEDIF,,,,
6,2021,Moção,"Moção de Aplausos ao 3º Sargento BM João Batista Pinheiro da Costa pela presteza, pela rapidez e confiabilidade que tem atendido aos pedidos referentes à causa animal. ",Aprovado,Kátia Franco Protetora,MOC,,,,
6,2021,Requerimento,"Requeiro Exma. Sra. Prefeita Municipal, junto a EMPAV, a OPERAÇÃO TAPA BURACO ao longo da Rua Sabino Francisco de Barros, no Bairro Bandeirantes.",Aprovado,Bejani Júnior,REQ,,,,
6,2021,Projeto de Emenda à Lei Orgânica,“Acrescenta o inciso XII ao artigo 3º da Lei Orgânica Municipal.,Transformado em Norma Jurídica,Sargento Mello Casal,PELOR,,,,
5,2021,Projeto de Resolução,Autoriza a celebração do Acordo de Cooperação Técnica com a Câmara Municipal de Paiva-MG,Transformado em Norma Jurídica,"Juraci Scheffer, Dr. Antônio Aguiar, Cido Reis, Zé Márcio, Nilton Militão",PRES,,,,
5,2021,Projeto de Emenda à Lei Orgânica,Altera o artigo 110 da Lei Orgânica Municipal,Transformado em Norma Jurídica,"Juraci Scheffer, André Luiz, Dr. Antônio Aguiar, Cido Reis, Bejani Júnior, Vagner de Oliveira, Zé Márcio, João Wagner, Julinho Rossignoli",PELOR,,,,
5,2021,Projeto de Lei Complementar,Dispõe sobre a autorização de sepultamento antes de decorrido o prazo de 24 (vinte e quatro) horas e dá outras providências.,Transformado em Norma Jurídica,João Wagner,PLEIC,,,,
5,2021,Representação,"Representação junto ao Excelentíssimo Senhor Governador do Estado de Minas Gerais Romeu Zema, com a solicitação para intensificar o trabalho de reabertura do atendimento de porta 24h de Urgência e Emergência no Hospital Regional João Penido, localizado no Bairro Grama.",Aprovado,"Bejani Júnior, André Luiz, Cida Oliveira, Cido Reis, Sargento Mello Casal, Vagner de Oliveira, Zé Márcio, João Wagner, Julinho Rossignoli, Juraci Scheffer, Kátia Franco Protetora, Laiz Perrut, Luiz Otávio Fernandes Coelho - Pardal, Marlon Siqueira, Maurício Delgado, Nilton Militão, Tallia Sobral, Tiago Bonecão",REP,,,,
5,2021,Projeto de Lei,Institui no Município de Juiz de Fora Dia Municipal do Influenciador Digital.,Transformado em Norma Jurídica,Bejani Júnior,PLEI,,,,
5,2021,Pedido de Informação,"Pedido de informação a Excelentíssima Senhora Prefeita, encaminhado a CESAMA.",Aprovado,Bejani Júnior,PEDIF,,,,
5,2021,Moção,"Moção de Aplausos ao 1º Tenente BM Rafael Barros Teixeira pela presteza, pela rapidez, confiabilidade que tem atendido aos pedidos referentes a causa animal.",Aprovado,Kátia Franco Protetora,MOC,,,,
5,2021,Requerimento,"Requeiro Exma. Sra. Prefeita Municipal, junto a EMPAV, a OPERAÇÃO TAPA BURACO ao longo da Rua Antônio de Paula Mendes, no Bairro Bandeirantes.",Aprovado,Bejani Júnior,REQ,,,,
4,2021,Projeto de Emenda à Lei Orgânica,Altera o artigo 110 da Lei Orgânica Municipal,Arquivada,Juraci Scheffer,PELOR,,,,
4,2021,Projeto de Lei Complementar,"Altera a Lei n° 6.910, de 31 de maio de 1986.",Transformado em Norma Jurídica,João Wagner,PLEIC,,,,
4,2021,Projeto de Resolução,Dá denominação à Galeria de Vereadoras e Ex-Vereadoras da Câmara Municipal de Juiz de Fora.,Em Tramitação,"Laiz Perrut, Cida Oliveira, Kátia Franco Protetora, Tallia Sobral",PRES,,,,
4,2021,Projeto de Lei,Dispõe sobre Concessão de isenção de pagamento de IPTU a imóveis e edificações atingidos por enchentes e alagamentos causados pelas chuvas ocorridas no município de Juiz de Fora.,Transformado em Norma Jurídica,Bejani Júnior,PLEI,,,,
4,2021,Representação,"REPRESENTE a Companhia Energética de Minas Gerais S.A - Cemig, na figura de seu Diretor-Presidente, com endereço na Avenida Barbacena, número 1200, Bairro Santo Agostinho, CEP 30190-131, na cidade de Belo Horizonte no sentido de informar a essa Casa Legislativa e em especial a este Vereador as seguintes informações sobre a cobrança da taxa de iluminação pública. ",Arquivada,Bejani Júnior,REP,,,,
4,2021,Pedido de Informação,Pedido de informação sobre situação da obra de serviço de drenagem/escoamento de água localizado no bairro Jardim Cachoeira/Parque das Águas.,Aprovado,Bejani Júnior,PEDIF,,,,
4,2021,Requerimento,"Requeiro a Exma. Sra. Prefeita Municipal, junto a EMPAV, a OPERAÇÃO TAPA BURACO ao longo da Rua José Libano Rodrigues, principalmente entre a praça e a rua Aurora Tristão no Bairro Bandeirantes.",Aprovado,Bejani Júnior,REQ,,,,
4,2021,Moção,"Moção de Pesar pelo lamentável falecimento do médico, empreendedor, empresário e comunicador, Dr. Juracy Neves",Aprovado,Juraci Scheffer,MOC,,,,
3,2021,Projeto de Emenda à Lei Orgânica,Acrescenta o artigo 28-A à Lei Orgânica Municipal.,Transformado em Norma Jurídica,"Sargento Mello Casal, André Luiz, Dr. Antônio Aguiar, Bejani Júnior, Zé Márcio, Julinho Rossignoli, Kátia Franco Protetora, Marlon Siqueira, Nilton Militão, Tiago Bonecão",PELOR,,,,
3,2021,Projeto de Lei Complementar,Acrescenta dispositivos ao Estatuto do Servidor Municipal para prever a tramitação prioritária dos processos administrativos funcionais que envolvam vítima de violência doméstica e familiar contra a mulher.,Transformado em Norma Jurídica,Laiz Perrut,PLEIC,,,,
3,2021,Projeto de Resolução,"Altera a Resolução nº1.321, de 28 de fevereiro de 2018, que cria a Menção Honrosa Vereadora Vera Faria e dá outras providências.",Em Tramitação,"Tallia Sobral, Cida Oliveira, Kátia Franco Protetora, Laiz Perrut",PRES,,,,
3,2021,Projeto de Lei,Regulamenta a identificação dos terrenos públicos pertencentes ao município de Juiz de Fora.,Transformado em Norma Jurídica,Julinho Rossignoli,PLEI,,,,
3,2021,Representação,Adiamento do PISM,Aprovado,"André Luiz, Cida Oliveira, Cido Reis, Bejani Júnior, Sargento Mello Casal, João Wagner, Julinho Rossignoli, Kátia Franco Protetora, Laiz Perrut, Luiz Otávio Fernandes Coelho - Pardal, Marlon Siqueira, Maurício Delgado, Nilton Militão, Tallia Sobral, Tiago Bonecão",REP,,,,
3,2021,Pedido de Informação,"Requeiro a Excelentíssima Senhora Prefeita Municipal, informações junto à Secretaria Municipal de Educação sobre a situação das creches do município.",Aprovado,Bejani Júnior,PEDIF,,,,
3,2021,Requerimento,"Requeiro a Exma. Sra. Prefeita Municipal, junto a EMPAV para que seja realizada a poda das árvores localizadas na Rua Antonio Tristão no bairro Bandeirantes.",Aprovado,Bejani Júnior,REQ,,,,
3,2021,Moção,MOÇÃO DE PESAR pelo falecimento do doutor Juracy Neves.,Aprovado,Dr. Antônio Aguiar,MOC,,,,
2,2021,Projeto de Emenda à Lei Orgânica,Altera o art. 60 da Lei Orgânica Municipal,Transformado em Norma Jurídica,"Juraci Scheffer, Dr. Antônio Aguiar, Cida Oliveira, Bejani Júnior, Sargento Mello Casal, Zé Márcio, João Wagner, Julinho Rossignoli, Kátia Franco Protetora, Laiz Perrut, Marlon Siqueira, Maurício Delgado, Tiago Bonecão",PELOR,,,,
2,2021,Projeto de Lei Complementar,"Inclui o inciso X no artigo 48 da Lei Municipal nº 5546, de 26 de dezembro de 1978.",Transformado em Norma Jurídica,Luiz Otávio Fernandes Coelho - Pardal,PLEIC,,,,
2,2021,Projeto de Lei,Dispõe sobre Saúde Bucal das pessoas idosas no âmbito do município de Juiz de Fora.,Arquivada,Julinho Rossignoli,PLEI,,,,
2,2021,Representação,"Solicita ao Ministro da Educação, Milton Ribeiro, o Adiamento do ENEM - Exame Nacional do Ensino Médio.",Aprovado,"Cida Oliveira, Laiz Perrut",REP,,,,
2,2021,Pedido de Informação,Falta de Médico na UBS do Bairro Jardim Esperança área 03,Aprovado,Tiago Bonecão,PEDIF,,,,
2,2021,Projeto de Resolução,Dá denominação ao Plenarinho da Câmara Municipal de Juiz de Fora.,Transformado em Norma Jurídica,Luiz Otávio Fernandes Coelho - Pardal,PRES,,,,
2,2021,Requerimento,"Que seja providenciado a captação e a duplicação da rede de água pluvial, na rua Senador Feliciano Pena no bairro Democrata e Mariano Procópio.",Aprovado,Julinho Rossignoli,REQ,,,,
2,2021,Moção,Moção de Pesar pelo falecimento do Sr. Juracy Neves,Aprovado,Marlon Siqueira,MOC,,,,
1,2021,Projeto de Lei Complementar,"Altera a Lei n° 6.910, de 31 de maio de 1986 e a e Lei Complementar nº 6, de 27 de novembro de 2013",Transformado em Norma Jurídica,Juraci Scheffer,PLEIC,,,,
1,2021,Projeto de Lei,"Altera e acrescenta dispositivos na Lei Municipal n. 14.138, de 21 de dezembro de 2020, que Dispõe sobre o direito de preferência à vacinação contra a covid-19 (novo coronavírus), no Município de Juiz de Fora, às pessoas prioritárias e inclusas no grupo de risco que menciona",Transformado em Norma Jurídica,Juraci Scheffer,PLEI,,,,
1,2021,Representação,Solicitação urgente de adiamento do ENEM 2020,Arquivada,Laiz Perrut,REP,,,,
1,2021,Pedido de Informação,Prazo de Inicio das Obras da UBS do Bairro São Benedito,Aprovado,Tiago Bonecão,PEDIF,,,,
1,2021,Projeto de Resolução,"Altera o Regimento Interno da Câmara Municipal de Juiz de Fora, aprovado pela Resolução n. 1.270, de 11 de dezembro de 2012.",Transformado em Norma Jurídica,Sargento Mello Casal,PRES,,,,
1,2021,Requerimento,Solicitação de medidas de demolição com urgência em relação a ponte construída acima do córrego dos Ingleses ligando o Espaço de Eventos Mariano Hall à rua Senador Feliciano Pena no bairro Mariano Procópio.,Aprovado,Julinho Rossignoli,REQ,,,,
1,2021,Moção,"Solicitamos, ouvido o Plenário, seja aprovada a Moção de Aplausos ao LABORATÓRIO DO HOSPITAL DE PRONTO SOCORRO DR. MOZART GERALDO TEIXEIRA (HPS) por receber o selo de excelência do Programa Nacional de Controle de Qualidade (PNCQ), nos anos 2016, 2018, 2019 e 2020, pela rapidez confiabilidade e conduta ética de toda a equipe que compõe esta Unidade.",Aprovado,Marlon Siqueira,MOC,,,,
