Projeto,Ano,Tipo,Ementa,Situacao,Autor,Codigo_Tipo,Id_Projeto_Camara,Data_Projeto,Tramitacao_Encerrada,Aprovado
2399,2015,Requerimento,Solicita reforma de toda a praça do bairro Jóquei Clube II.,Arquivada,Nilton Militão,REQ,53972,27/08/2015,SIM,SIM
2398,2015,Requerimento,Solicita colocação de redutor de velocidade na rua Monsenhor Francisco de Paula Salgado.,Arquivada,Nilton Militão,REQ,53971,27/08/2015,SIM,SIM
2397,2015,Requerimento,Solicita reforma da praça e colocação de lixeiras no bairro Barbosa Lage.,Arquivada,Nilton Militão,REQ,53970,27/08/2015,SIM,SIM
2396,2015,Requerimento,Solicita à SETTRA que analise e verifique a possibilidade de colocação de redutor de velocidade na rua Alexandre Henrique Silva.,Arquivada,Nilton Militão,REQ,53968,27/08/2015,SIM,SIM
2395,2015,Requerimento,"Solicita iluminação, capina e limpeza no escadão que liga as ruas Geraldo de Almeida com Agostinho Brotalho.",Arquivada,Nilton Militão,REQ,53967,27/08/2015,SIM,SIM
2394,2015,Requerimento,Solicita à SETTRA estudo no sentido de verificar a possibilidade de colocação de um semáforo próximo a entrada do bairro Remonta.,Arquivada,Nilton Militão,REQ,53966,27/08/2015,SIM,SIM
2393,2015,Requerimento,Solicita à SETTRA estudo no sentido de verificar a possibilidade de colocação de semáforo no entroncamento das ruas próximo a rotatória na entrada do bairro Barbosa Lage.,Arquivada,Nilton Militão,REQ,53965,27/08/2015,SIM,SIM
2392,2015,Requerimento,Solicita policiamento no bairro Barbosa Lage.,Arquivada,Nilton Militão,REQ,53964,27/08/2015,SIM,SIM
2391,2015,Requerimento,Solicita capina e limpeza em toda extensão da rua Antônio Weitzel.,Arquivada,Nilton Militão,REQ,53963,27/08/2015,SIM,SIM
2390,2015,Requerimento,"Solicita junto à EMPAV, (PRAÇAS E JARDINS), que os frequentadores do Parque da Lajnha, possam entrar com seus animais de estimação.",Arquivada,Chico Evangelista,REQ,54022,27/08/2015,SIM,SIM
2389,2015,Requerimento,"Solicita junto à EMPAV, (PRAÇAS E JARDINS), que os frequentadores do Museu Mariano Procópio, possam entrar com seus animais de estimação na área de caminhada.",Arquivada,Chico Evangelista,REQ,54021,27/08/2015,SIM,SIM
2388,2015,Requerimento,"Solicita junto à CESAMA, ligação de água na Rua Alameda Santo Antônio, no trecho que margeia a Rodovia BR 040 ( próximo ao Expominas), bairro Bosque Imperador.",Arquivada,Chico Evangelista,REQ,54020,27/08/2015,SIM,SIM
2387,2015,Requerimento,"Solicita a cosntrução de captação de águas pluviais na Rua Alameda Santo Antônio, no trecho que margeia a Rodovia BR 040 ( próximo ao Expominas), bairro Bosque Imperador.",Arquivada,Chico Evangelista,REQ,54019,27/08/2015,SIM,SIM
2386,2015,Requerimento,"Solicita asfaltamento no final da Rua Alameda Santo Antônio, trecho que compreende entre entrada do condomínio Alphaville até a Rodovia BR 040, bairro Bosque Imperador.",Arquivada,Chico Evangelista,REQ,54018,27/08/2015,SIM,SIM
2385,2015,Requerimento,"Solicita junto à EMPAV, operação tapa buraco na Rua Água Limpa em frente ao n° 12, Bairro Santa Luzia.",Arquivada,Dr. Fiorilo,REQ,53962,27/08/2015,SIM,SIM
2384,2015,Requerimento,Solicita que sejam atendidas as reivindicações feitas na 114ª Cãmara Itinerante.,Arquivada,"Ana Rossignoli, André Mariano, Dr. Antônio Aguiar, Cido Reis, Chico Evangelista, Vagner de Oliveira, José Emanuel, José Laerte, Dr. Fiorilo, Zé Márcio, João do Joaninho, Jucelio, Júlio Gasparette, Leo de Oliveira, Luiz Otávio Fernandes Coelho - Pardal, Nilton Militão, Oliveira Tresse, Betão, Rodrigo Mattos, Wanderson Castelar",REQ,53969,27/08/2015,SIM,SIM
2383,2015,Requerimento,"Solicita realização de audiência Pública, para discutirmos sobre à Regularização de Imóveis.",Arquivada,Júlio Gasparette,REQ,54032,27/08/2015,SIM,SIM
2382,2015,Requerimento,Solicita retirada do Projeto de Lei nº 15/14 por sessenta dias.,Arquivada,Ana Rossignoli,REQ,53875,27/08/2015,SIM,SIM
2381,2015,Requerimento,Solicita estudos para instalação de semáforo no cruzamento da Ruas Ingrácia Pinheiro com a rua Porto das Flores.,Arquivada,Dr. Fiorilo,REQ,53915,26/08/2015,SIM,SIM
2380,2015,Requerimento,"Solicita poda de àrvore em frente ao nº 88 da rua Ingrácia Pinheiro, bairro Santa Luzia.",Arquivada,Dr. Fiorilo,REQ,53914,26/08/2015,SIM,SIM
2379,2015,Requerimento,"Solicita desobstrução da Rua Joaquim Pinto Apolinário, ao lado do nº 340.",Arquivada,Dr. Fiorilo,REQ,53913,26/08/2015,SIM,SIM
2378,2015,Requerimento,Solicita que o Exmo. Sr. Prefeito Municipal envie à câmara municipal Mensagem contendo alterações na atual Legislação Municipal no que confere aos atuais Conselheiros Municipais de Saúde.,Arquivada,José Laerte,REQ,53912,26/08/2015,SIM,SIM
2377,2015,Requerimento,Solicita capina e limpeza de todas as ruas do bairro Terras Altas.,Arquivada,Rodrigo Mattos,REQ,53911,26/08/2015,SIM,SIM
2375,2015,Requerimento,"Solicita que seja convocada Audiência Pública, o mais breve possível, para discutirmos ""Reforma Política e Cláusula de Barreira"".",Arquivada,Betão,REQ,55615,26/08/2015,SIM,SIM
2374,2015,Requerimento,Solicita que sejam atendidas as reivindicações feitas na 114ª Câmara Itinerante.,Arquivada,"Ana Rossignoli, André Mariano, Dr. Antônio Aguiar, Cido Reis, Chico Evangelista, Vagner de Oliveira, Isauro Calais, José Emanuel, José Laerte, Dr. Fiorilo, Zé Márcio, Jucelio, Júlio Gasparette, Leo de Oliveira, Luiz Otávio Fernandes Coelho - Pardal, Nilton Militão, Noraldino Júnior, Oliveira Tresse, Betão, Rodrigo Mattos, Wanderson Castelar",REQ,53907,25/08/2015,SIM,SIM
2373,2015,Requerimento,"Solicita que sejam instalados braços de iluminação pública na Rua Oridis Militão da Costa, no bairro Terras Altas.",Arquivada,Ana Rossignoli,REQ,53900,25/08/2015,SIM,SIM
2372,2015,Requerimento,"Solicita capina e a limpeza de toda a Rua José Inácio da Trindade, no Bairro Ladeira.",Arquivada,Ana Rossignoli,REQ,53899,25/08/2015,SIM,SIM
2371,2015,Requerimento,"Solicita operação tapa buraco na Rua Oridis Militão da Costa, no Bairro Terras Altas.",Arquivada,Ana Rossignoli,REQ,53898,25/08/2015,SIM,SIM
2370,2015,Requerimento,Solicita limpeza do local destinado ao acúmulo de sedimentos na Rua José Cirilo.,Arquivada,Oliveira Tresse,REQ,53910,25/08/2015,SIM,SIM
2369,2015,Requerimento,Solicita estudo para o corte de árvore localizada em encosta na altura do número 1170 da Rua Diva Garcia.,Arquivada,Oliveira Tresse,REQ,53909,25/08/2015,SIM,SIM
2368,2015,Requerimento,Solicita instalação de defensa metálica na altura do número 1384 da Rua Diva Garcia.,Arquivada,Oliveira Tresse,REQ,53908,25/08/2015,SIM,SIM
2367,2015,Requerimento,"Solicita junto a EMPAV, o reparo/troca de uma tampa de bueiro,em frente ao n°1071 da Av. Pedro Henrique Krambeck, no Bairro São Pedro.",Arquivada,Luiz Otávio Fernandes Coelho - Pardal,REQ,53906,25/08/2015,SIM,SIM
2366,2015,Requerimento,"Solicita junto a EMPAV, o reparo do asfalto em frente a igreja na Rua Professor José Ribeiro, no Bairro São Pedro.",Arquivada,Luiz Otávio Fernandes Coelho - Pardal,REQ,53905,25/08/2015,SIM,SIM
2365,2015,Requerimento,"Solicita junto a EMPAV, a capina e limpeza da praça de alimentação do Eldorado situado no Bairro Eldorado.",Arquivada,Luiz Otávio Fernandes Coelho - Pardal,REQ,53904,25/08/2015,SIM,SIM
2364,2015,Requerimento,"Solicita junto a EMPAV, a capina e limpeza da Praça Francisco Ferreira de Freitas, situada no Bairro Monte Castelo.",Arquivada,Luiz Otávio Fernandes Coelho - Pardal,REQ,53903,25/08/2015,SIM,SIM
2363,2015,Requerimento,Solicita junto a Diretoria de Energia a instalação de um braço de luz no poste localizado no final da Rua Ivay Campos Machado no Bairro Marumbi.,Arquivada,Luiz Otávio Fernandes Coelho - Pardal,REQ,53902,25/08/2015,SIM,SIM
