Projeto,,Ano,,Tipo,,Autor,,Ementa,,Situação
5869,   ,2013,,Requerimento,,Vagner de Oliveira,,"Solicita a colocação de redutor de velocidade ou sinalização para redução de velocidade na Rua Professora Noêmia Mendonça, Bairro teixeiras.",,Arquivada
,,,,,,,,,,
5868,   ,2013,,Requerimento,,Vagner de Oliveira,,"Solicita o calçamento na subida da Rua Joaquim Guedes , Bairro Granjas Betânia.",,Arquivada
,,,,,,,,,,
5867,   ,2013,,Requerimento,,Vagner de Oliveira,,"Solicita a colocação de um redutor de velocidade ou sinalização para redução de velocidade na Av. Maria de almeida Silva, no Bairro Teixeiras.",,Arquivada
,,,,,,,,,,
5866,   ,2013,,Requerimento,,Vagner de Oliveira,,"Solicita a revitalização da pintura da rotatória na Av. Maria de almeida Silva, no Bairro Teixeiras.",,Arquivada
,,,,,,,,,,
5865,   ,2013,,Requerimento,,Zé Márcio,,"Solicita junto a Secretaria de Obras, licitação pública para execução de um projeto de engenharia para o bairro Industrial.",,Arquivada
,,,,,,,,,,
5864,   ,2013,,Requerimento,,Zé Márcio,,"Solicita junto a Settra, instalação de bicicletários em locais públicos.",,Arquivada
,,,,,,,,,,
5863,   ,2013,,Requerimento,,Zé Márcio,,"Solicita estudo para mudança de itinerário das linhas 107 e 113, da vila Montanhesa.",,Arquivada
,,,,,,,,,,
5862,   ,2013,,Requerimento,,Dr. Fiorilo,,Solicita colocação de uma tampa de bueiro em frente ao nº15 da rua Lourdes Fonseca Pinto no Jardim de Ala,,Arquivada
,,,,,,,,,,
5861,   ,2013,,Requerimento,,Dr. Fiorilo,,Solicita fiscalização da SAU pondo em prática a execução da lei 10516/03,,Em Tramitação
,,,,,,,,,,
5860,   ,2013,,Requerimento,,Ana Rossignoli,,"Solicita reparo no asfalto da rua Maria Ribeiro de Oliveira, no bairro Santa Rita.",,Arquivada
,,,,,,,,,,
5858,   ,2013,,Requerimento,,Luiz Otávio Fernandes Coelho - Pardal,,"Solicita a capina e limpeza na Praça Dr. Pedro B. Martins, no Bairro Grajaú.",,Arquivada
,,,,,,,,,,
5857,   ,2013,,Requerimento,,Luiz Otávio Fernandes Coelho - Pardal,,"Solicita a capina e limpeza na Rua Dr. Costa Reis, no Bairro Bela Aurora.",,Arquivada
,,,,,,,,,,
5856,   ,2013,,Requerimento,,Luiz Otávio Fernandes Coelho - Pardal,,Solicita a limpeza e capina em todo o Bairro Alto Grajaú.,,Arquivada
,,,,,,,,,,
5855,   ,2013,,Requerimento,,Luiz Otávio Fernandes Coelho - Pardal,,Solicita a capina e limpeza em todo o Bairro Bom Jardim.,,Arquivada
,,,,,,,,,,
5854,   ,2013,,Requerimento,,Luiz Otávio Fernandes Coelho - Pardal,,Solicita a capina e limpeza na Rua Antonio Altaf no Bairro Cascatinha.,,Arquivada
,,,,,,,,,,
5853,   ,2013,,Requerimento,,Luiz Otávio Fernandes Coelho - Pardal,,Solicita a capina e limpeza na Rua das Missões no Bairro Nossa Senhora Aparecida.,,Arquivada
,,,,,,,,,,
5852,   ,2013,,Requerimento,,Luiz Otávio Fernandes Coelho - Pardal,,"Solicita o reparo do asfalto, na Rua Carmela Dutra, no Bairro Nossa Senhora Aparecida.",,Arquivada
,,,,,,,,,,
5851,   ,2013,,Requerimento,,Luiz Otávio Fernandes Coelho - Pardal,,"Solicita o recapeamento asfáltico , na Rua Domingos Lopes, no Bairro Nossa Senhora das Graças.",,Arquivada
,,,,,,,,,,
5850,   ,2013,,Requerimento,,Luiz Otávio Fernandes Coelho - Pardal,,"Solicita recapeamento asfáltico ao longo da Rua Antônio Altaf, no Bairro Cascatinha.",,Arquivada
,,,,,,,,,,
5849,   ,2013,,Requerimento,,Luiz Otávio Fernandes Coelho - Pardal,,"Solicita o reparo e troca de uma tampa de bueiro, na Rua dos Inconfidentes, no Bairro Manoel Honório.",,Arquivada
,,,,,,,,,,
5848,   ,2013,,Requerimento,,Luiz Otávio Fernandes Coelho - Pardal,,Solicita o recapeamento asfáltico em todo o Bairro Alto Grajaú.,,Arquivada
,,,,,,,,,,
5847,   ,2013,,Requerimento,,Zé Márcio,,"Solicita junto a Settra, estudo para implantação de mão única na rua Professor Inácio Werneck, no bairro Dom Bosco.",,Arquivada
,,,,,,,,,,
5846,   ,2013,,Requerimento,,Zé Márcio,,"Solicita junto a Secretaria de Obras, colocação de escória na rua G, no bairro Vila Almeida.",,Arquivada
,,,,,,,,,,
5845,   ,2013,,Requerimento,,Chico Evangelista,,"Solicita junto a Settra, colocação de semáforo nas duas entradas do Corte de Pedra, no bairro Marumbi.",,Arquivada
,,,,,,,,,,
5844,   ,2013,,Requerimento,,André Mariano,,"Solicita limpeza da boca de lobo da rua Miguel Gustavo, no bairro Parque Guarani.",,Arquivada
,,,,,,,,,,
5843,   ,2013,,Requerimento,,Luiz Otávio Fernandes Coelho - Pardal,,Solicita o arquivamento definitivo do Projeto de Lei nº 112/2013.,,Arquivada
,,,,,,,,,,
5842,   ,2013,,Requerimento,,"Dr. Fiorilo, Luiz Otávio Fernandes Coelho - Pardal, Wanderson Castelar",,"Solicita junto a Secretaria de Educação inclusão dos alunos com necessidades especiais, de forma ampla.",,Arquivada
,,,,,,,,,,
5841,   ,2013,,Requerimento,,"Dr. Fiorilo, Luiz Otávio Fernandes Coelho - Pardal, Wanderson Castelar",,"Solicita junto a Secretaria de Esportes e Lazer, criação de uma bolsa esporte/educação para os alunos em escolas de educação básica.",,Arquivada
,,,,,,,,,,
5840,   ,2013,,Requerimento,,"Dr. Fiorilo, Luiz Otávio Fernandes Coelho - Pardal, Wanderson Castelar",,"Solicita junto a Secretaria de Educação, Administração e Recursos Humanos, mobilizar a PMMG e a Guarda Municipal para promover a segurança escolar.",,Arquivada
