id_projeto_camara,nome_autor
46643,Júlio Gasparette
46641,Júlio Gasparette
46639,Júlio Gasparette
46636,Júlio Gasparette
46634,Júlio Gasparette
46095,Jucelio
46094,Jucelio
46093,Jucelio
46092,Jucelio
46091,Jucelio
46027,Nilton Militão
46026,Nilton Militão
46025,Nilton Militão
46028,Chico Evangelista
46199,Dr. Antônio Aguiar
46242,Noraldino Júnior
46241,Noraldino Júnior
46240,Noraldino Júnior
46238,Noraldino Júnior
46236,Noraldino Júnior
46234,Noraldino Júnior
46232,Noraldino Júnior
46231,Noraldino Júnior
46229,Noraldino Júnior
46228,Noraldino Júnior
46227,Noraldino Júnior
46226,Noraldino Júnior
46225,Noraldino Júnior
46224,Noraldino Júnior
46223,Noraldino Júnior
46222,Noraldino Júnior
46221,Noraldino Júnior
46220,Noraldino Júnior
46219,Noraldino Júnior
46218,Noraldino Júnior
46217,Noraldino Júnior
46336,Vagner de Oliveira
46335,Vagner de Oliveira
46393,Dr. Fiorilo
46389,Dr. Fiorilo
46386,Dr. Fiorilo
46385,Dr. Fiorilo
46384,Dr. Fiorilo
46365,Dr. Fiorilo
46046,Isauro Calais
46045,Isauro Calais
46044,Isauro Calais
46043,Isauro Calais
46040,Isauro Calais
46039,Isauro Calais
46038,Isauro Calais
46633,Júlio Gasparette
46632,Júlio Gasparette
46631,Júlio Gasparette
46630,Júlio Gasparette
46629,Júlio Gasparette
46628,Júlio Gasparette
46627,Júlio Gasparette
46621,Júlio Gasparette
46620,Júlio Gasparette
46618,Júlio Gasparette
46606,Noraldino Júnior
46604,Noraldino Júnior
46602,Noraldino Júnior
46600,Noraldino Júnior
46597,Noraldino Júnior
46596,Noraldino Júnior
46595,Noraldino Júnior
46593,Noraldino Júnior
46592,Noraldino Júnior
46591,Noraldino Júnior
46590,Noraldino Júnior
46589,Noraldino Júnior
46588,Noraldino Júnior
46571,Noraldino Júnior
46570,Noraldino Júnior
46314,Luiz Otávio Fernandes Coelho - Pardal
46313,Luiz Otávio Fernandes Coelho - Pardal
46459,Dr. Fiorilo
46430,Dr. Fiorilo
46429,Dr. Fiorilo
46427,Dr. Fiorilo
46425,Dr. Fiorilo
46424,Dr. Fiorilo
46421,Dr. Fiorilo
46029,Rodrigo Mattos
46030,Chico Evangelista
46200,Dr. Antônio Aguiar
46070,Wanderson Castelar
46069,Wanderson Castelar
46383,Vagner de Oliveira
46382,Vagner de Oliveira
46381,Vagner de Oliveira
46380,Vagner de Oliveira
46379,Vagner de Oliveira
46378,Vagner de Oliveira
46377,Vagner de Oliveira
46376,Vagner de Oliveira
46375,Vagner de Oliveira
46374,Vagner de Oliveira
46373,Vagner de Oliveira
46372,Vagner de Oliveira
46371,Vagner de Oliveira
46370,Vagner de Oliveira
46369,Vagner de Oliveira
46368,Vagner de Oliveira
46367,Vagner de Oliveira
46140,Luiz Otávio Fernandes Coelho - Pardal
46139,Luiz Otávio Fernandes Coelho - Pardal
46138,Luiz Otávio Fernandes Coelho - Pardal
46137,Luiz Otávio Fernandes Coelho - Pardal
46136,Luiz Otávio Fernandes Coelho - Pardal
46135,Luiz Otávio Fernandes Coelho - Pardal
46420,Dr. Fiorilo
46418,Dr. Fiorilo
46416,Dr. Fiorilo
46414,Dr. Fiorilo
46413,Dr. Fiorilo
46411,Dr. Fiorilo
46410,Dr. Fiorilo
46409,Dr. Fiorilo
46408,Dr. Fiorilo
46404,Dr. Fiorilo
46402,Dr. Fiorilo
46401,Dr. Fiorilo
46400,Dr. Fiorilo
46399,Dr. Fiorilo
46397,Dr. Fiorilo
46395,Dr. Fiorilo
46035,Isauro Calais
46034,Isauro Calais
46149,Chico Evangelista
46148,Chico Evangelista
46147,Chico Evangelista
46146,Chico Evangelista
46145,Chico Evangelista
46144,Chico Evangelista
46143,Chico Evangelista
46142,Chico Evangelista
46141,Chico Evangelista
46445,Cido Reis
46443,Cido Reis
46442,Cido Reis
46441,Cido Reis
46439,Cido Reis
46437,Cido Reis
46434,Cido Reis
46432,Cido Reis
46329,Cido Reis
46328,Cido Reis
46327,Cido Reis
46326,Cido Reis
46325,Cido Reis
46324,Cido Reis
46323,Cido Reis
46322,Cido Reis
46321,Cido Reis
46320,Cido Reis
46163,Jucelio
46057,Zé Márcio
46157,Oliveira Tresse
46156,Oliveira Tresse
46155,Oliveira Tresse
46090,Jucelio
46089,Jucelio
46088,Jucelio
46087,Jucelio
46086,Jucelio
46085,Jucelio
46084,Jucelio
46083,Jucelio
46082,Jucelio
46081,Jucelio
46080,Jucelio
46079,Jucelio
46078,Jucelio
46077,Jucelio
46196,Dr. Antônio Aguiar
46194,Dr. Antônio Aguiar
46192,Dr. Antônio Aguiar
46191,Dr. Antônio Aguiar
46201,Dr. Antônio Aguiar
46190,Dr. Antônio Aguiar
46189,Dr. Antônio Aguiar
46188,Dr. Antônio Aguiar
46122,Ana Rossignoli
46121,Ana Rossignoli
45919,Wanderson Castelar
45699,Júlio Gasparette
45698,Júlio Gasparette
45697,Júlio Gasparette
45696,Júlio Gasparette
45695,Júlio Gasparette
45694,Júlio Gasparette
45693,Júlio Gasparette
45691,Júlio Gasparette
45688,Júlio Gasparette
45687,Júlio Gasparette
46024,Noraldino Júnior
46023,Noraldino Júnior
46022,Noraldino Júnior
46021,Noraldino Júnior
46020,Noraldino Júnior
46019,Noraldino Júnior
46018,Noraldino Júnior
46017,Noraldino Júnior
46016,Noraldino Júnior
46015,Noraldino Júnior
46014,Noraldino Júnior
46013,Noraldino Júnior
46012,Noraldino Júnior
46011,Noraldino Júnior
46010,Noraldino Júnior
46009,Noraldino Júnior
45941,Nilton Militão
45940,Nilton Militão
45939,Nilton Militão
45938,Nilton Militão
45937,Nilton Militão
45936,Nilton Militão
45935,Nilton Militão
45934,Nilton Militão
45933,Nilton Militão
45932,Nilton Militão
45931,Nilton Militão
45842,Dr. Fiorilo
45841,Dr. Fiorilo
45840,Dr. Fiorilo
45892,Vagner de Oliveira
45891,Vagner de Oliveira
45890,Vagner de Oliveira
45889,Vagner de Oliveira
45910,Cido Reis
45909,Cido Reis
45908,Cido Reis
45907,Cido Reis
45906,Cido Reis
45905,Cido Reis
45924,Cido Reis
45918,Wanderson Castelar
45917,Wanderson Castelar
45775,Oliveira Tresse
45773,Oliveira Tresse
45771,Oliveira Tresse
45770,Oliveira Tresse
45830,Luiz Otávio Fernandes Coelho - Pardal
45829,Luiz Otávio Fernandes Coelho - Pardal
45828,Luiz Otávio Fernandes Coelho - Pardal
45916,Cido Reis
45915,Cido Reis
45914,Cido Reis
45913,Cido Reis
45912,Cido Reis
45911,Cido Reis
45650,André Mariano
45649,André Mariano
45648,André Mariano
45721,Chico Evangelista
46008,Noraldino Júnior
46007,Noraldino Júnior
46006,Noraldino Júnior
46005,Noraldino Júnior
46004,Noraldino Júnior
46003,Noraldino Júnior
46002,Noraldino Júnior
46001,Noraldino Júnior
46000,Noraldino Júnior
45999,Noraldino Júnior
45998,Noraldino Júnior
45996,Noraldino Júnior
45995,Noraldino Júnior
45994,Noraldino Júnior
45993,Noraldino Júnior
45992,Noraldino Júnior
45991,Noraldino Júnior
45990,Noraldino Júnior
45989,Noraldino Júnior
45845,Dr. Fiorilo
45844,Dr. Fiorilo
45843,Dr. Fiorilo
45719,Jucelio
45922,Wanderson Castelar
45921,Wanderson Castelar
45920,Wanderson Castelar
45741,Betão
45740,Betão
45739,Betão
45738,Betão
45737,Betão
45725,Betão
45988,Noraldino Júnior
45987,Noraldino Júnior
45986,Noraldino Júnior
45985,Noraldino Júnior
45984,Noraldino Júnior
45983,Noraldino Júnior
45982,Noraldino Júnior
45981,Noraldino Júnior
45980,Noraldino Júnior
45979,Noraldino Júnior
45978,Noraldino Júnior
45976,Noraldino Júnior
45975,Noraldino Júnior
45974,Noraldino Júnior
45973,Noraldino Júnior
45972,Noraldino Júnior
45971,Noraldino Júnior
45970,Noraldino Júnior
45930,Nilton Militão
45929,Nilton Militão
45928,Nilton Militão
45927,Nilton Militão
45926,Nilton Militão
45925,Nilton Militão
45883,Nilton Militão
45882,Nilton Militão
45881,Nilton Militão
45880,Nilton Militão
45827,Luiz Otávio Fernandes Coelho - Pardal
45826,Luiz Otávio Fernandes Coelho - Pardal
45888,Vagner de Oliveira
45887,Vagner de Oliveira
45886,Vagner de Oliveira
45274,Chico Evangelista
45273,Chico Evangelista
45839,Dr. Fiorilo
45814,Dr. Fiorilo
45923,Wanderson Castelar
45637,Ana Rossignoli
45637,Dr. Antônio Aguiar
45637,Luiz Otávio Fernandes Coelho - Pardal
45637,Betão
45686,Júlio Gasparette
45685,Júlio Gasparette
45684,Júlio Gasparette
45683,Júlio Gasparette
45682,Júlio Gasparette
45681,Júlio Gasparette
45724,Betão
45723,Betão
45722,Betão
45863,Nilton Militão
45862,Nilton Militão
45861,Nilton Militão
45860,Nilton Militão
45859,Nilton Militão
45858,Nilton Militão
45825,Luiz Otávio Fernandes Coelho - Pardal
45824,Luiz Otávio Fernandes Coelho - Pardal
45823,Luiz Otávio Fernandes Coelho - Pardal
45822,Luiz Otávio Fernandes Coelho - Pardal
45821,Luiz Otávio Fernandes Coelho - Pardal
45820,Luiz Otávio Fernandes Coelho - Pardal
45819,Luiz Otávio Fernandes Coelho - Pardal
45272,Chico Evangelista
45269,Chico Evangelista
45266,Chico Evangelista
45265,Chico Evangelista
45292,Cido Reis
45291,Cido Reis
45290,Cido Reis
45289,Cido Reis
45288,Cido Reis
45420,Dr. Antônio Aguiar
45419,Dr. Antônio Aguiar
45418,Dr. Antônio Aguiar
45417,Dr. Antônio Aguiar
45298,Ana Rossignoli
45297,Ana Rossignoli
45296,Ana Rossignoli
45295,Ana Rossignoli
45838,Dr. Fiorilo
45700,Júlio Gasparette
45239,Isauro Calais
45238,Isauro Calais
45237,Isauro Calais
45236,Isauro Calais
45235,Isauro Calais
45234,Isauro Calais
45904,Cido Reis
45903,Cido Reis
45902,Cido Reis
45901,Cido Reis
45900,Cido Reis
45899,Cido Reis
45898,Cido Reis
45897,Cido Reis
45896,Cido Reis
45895,Cido Reis
45894,Cido Reis
45893,Cido Reis
45530,Isauro Calais
45720,Chico Evangelista
45416,Dr. Antônio Aguiar
45679,Júlio Gasparette
45678,Júlio Gasparette
45677,Júlio Gasparette
